trip_code,route_code
WM_VYT_KAK_010,WM_VYT_KAK
WM_VYT_KAK_011,WM_VYT_KAK
WM_VYT_KAK_012,WM_VYT_KAK
WM_VYT_KAK_013,WM_VYT_KAK
WM_VYT_KAK_014,WM_VYT_KAK
WM_VYT_KAK_015,WM_VYT_KAK
WM_VYT_KAK_016,WM_VYT_KAK
WM_VYT_KAK_017,WM_VYT_KAK
WM_VYT_KAK_018,WM_VYT_KAK
WM_VYT_KAK_019,WM_VYT_KAK
WM_VYT_KAK_020,WM_VYT_KAK
WM_VYT_KAK_021,WM_VYT_KAK
WM_VYT_KAK_022,WM_VYT_KAK
WM_VYT_KAK_023,WM_VYT_KAK
WM_VYT_KAK_024,WM_VYT_KAK
WM_VYT_KAK_025,WM_VYT_KAK
WM_VYT_KAK_026,WM_VYT_KAK
WM_WIL_HIG_001,WM_WIL_HIG
WM_WIL_HIG_002,WM_WIL_HIG
WM_WIL_HIG_003,WM_WIL_HIG
WM_WIL_HIG_004,WM_WIL_HIG
WM_WIL_HIG_005,WM_WIL_HIG
WM_WIL_HIG_006,WM_WIL_HIG
WM_WIL_HIG_007,WM_WIL_HIG
WM_WIL_HIG_008,WM_WIL_HIG
WM_WIL_HIG_009,WM_WIL_HIG
WM_WIL_HIG_010,WM_WIL_HIG
WM_WIL_HIG_011,WM_WIL_HIG
WM_WIL_HIG_012,WM_WIL_HIG
WM_WIL_HIG_013,WM_WIL_HIG
WM_WIL_HIG_014,WM_WIL_HIG
WM_WIL_HIG_015,WM_WIL_HIG
WM_WIL_HIG_016,WM_WIL_HIG
WM_WIL_HIG_017,WM_WIL_HIG
WM_WIL_HIG_018,WM_WIL_HIG
WM_WIL_HIG_019,WM_WIL_HIG
WM_WIL_HIG_020,WM_WIL_HIG
WM_WIL_HIG_021,WM_WIL_HIG
WM_WIL_HIG_022,WM_WIL_HIG
WM_WIL_HIG_023,WM_WIL_HIG
F001_001,F001
F001_002,F001
F001_003,F001
F001_004,F001
F001_005,F001
F001_006,F001
F001_007,F001
F001_008,F001
F001_009,F001
F001_010,F001
F001_011,F001
F001_012,F001
F001_013,F001
F001_014,F001
F001_015,F001
F001_016,F001
F001_017,F001
F001_018,F001
F001_019,F001
F001_020,F001
F001_021,F001
F001_022,F001
F001_023,F001
F001_024,F001
F001_025,F001
F001_026,F001
F002_001,F002
F002_002,F002
F002_003,F002
F003_001,F003
F003_002,F003
F003_003,F003
F003_004,F003
F003_005,F003
F003_006,F003
F003_007,F003
F003_008,F003
F003_009,F003
F003_010,F003
F003_011,F003
F003_012,F003
F003_013,F003
F003_014,F003
F003_015,F003
F003_016,F003
F003_017,F003
F003_018,F003
F003_019,F003
F003_020,F003
F003_021,F003
F003_022,F003
F003_023,F003
F003_024,F003
F003_025,F003
F003_026,F003
F003_027,F003
F003_028,F003
F004_001,F004
F004_002,F004
F004_003,F004
F004_004,F004
F004_005,F004
F004_006,F004
F004_007,F004
F004_008,F004
F004_009,F004
F004_010,F004
F004_011,F004
F004_012,F004
F004_013,F004
F004_014,F004
F004_015,F004
F004_016,F004
F004_017,F004
F004_018,F004
F004_019,F004
F004_020,F004
F004_021,F004
F004_022,F004
F004_023,F004
F004_024,F004
F004_025,F004
F004_026,F004
F004_027,F004
F004_028,F004
F004_029,F004
F005_001,F005
F005_002,F005
F005_003,F005
F005_004,F005
F005_005,F005
F005_006,F005
